Первичная консультация терапевта | 5 000 тг
Лечение кариеса | от 24 000 тг
Лечение периодонтита | от 77 000 тг
Build up (наращивание зуба под коронку) | от 65 000 тг
Профессиональная чистка зубов | от 21 000 тг
Пульпит 1-канальный | от 65 000 тг
Художественная реставрация | от 58 000 тг
Эндо перелечивание 1 канала | от 99 500 тг
Первичная консультация ортодонта | 8 000 тг
Брекеты | от 188 000 тг
Коррекция брекет системы | от 11 800 тг
Ортодонтическая пластинка | от 141 000 тг
Элайнеры полный курс | от 2 398 000 тг
Каппа ретейнер / от бруксизма | от 45 000 тг
Set up Элайнеры | от 99 500 тг
Первичная консультация ортопеда | 5 000 тг
Съемные протезы | от 94 000 тг
Коронки | от 67 000 тг
Винир E-max | от 182 000 тг
Протез ALL-ON-4/6 | от 1 463 000 тг
Первичная консультация хирурга | 8 000 тг
Гингивопластика | 24 000 тг
Синус-лифтинг | от 293 000 тг
Имплантация | от 153 000 тг
Удаление зуба | от 18 000 тг
Устранение рецессии в области 1 зуба | от 106 000 тг
Френулопластика | от 85 000 тг
